topic_id,topic_name,onhot_duration,hot_value,record_time
1073,西南大学一学生核酸检测结果异常,495,3654608,"2021-9-7 16:10"
1074,我国超9.69亿人完成新冠疫苗全程接种,272,186862,"2021-9-8 07:44"
1075,乔一成隐瞒病情,485,207385,"2021-9-8 08:04"
1076,31省区市无新增本土确诊,104,196676,"2021-9-8 11:12"
1077,香港一名80后打疫苗抽中千万豪宅,72,2414043,"2021-9-8 23:59"
1078,郑州小区居民拉3车冰块给医护降温,105,908106,"2021-08-01 1"
108,清远新增1例境外输入关联无症状感染者,32,682431,"2021-7-20 13:11"
109,广东清远一护士感染阿尔法变异株,208,4120292,"2021-7-20 14:28"
11,台湾新增104例新冠肺炎确诊病例,71,416104,"2021-6-23 16:52"
110,浙江将疫苗接种纳入健康码管理,115,935610,"2021-7-20 20:37"
111,江苏新增本土无症状1例,62,810218,"2021-7-21 11:04"
112,南京通报7例本土确诊病例情况,32,880228,"2021-7-21 12:00"
113,江苏新增本土确诊7例,99,897687,"2021-7-21 12:05"
114,江苏境外输入确诊病例新增2例,33,1023310,"2021-7-21 13:13"
115,南京核酸检测现场,139,1116045,"2021-7-21 15:47"
116,南京21日起开展全员核酸检测,96,609745,"2021-7-21 22:50"
117,南京新增6例本土无症状,32,529891,"2021-7-21 23:19"
118,南京新增本土确诊2例,90,1270409,"2021-7-21 23:59"
119,南京核酸检测间隙护士跪地吹风扇,32,402688,"2021-7-22 08:27"
12,德尔塔毒株究竟有多厉害,32,275860,"2021-6-23 18:13"
120,8旬教授核酸检测现场弹奏钢琴,32,396434,"2021-7-22 08:41"
121,31省区市新增50例确诊,32,420162,"2021-7-22 09:24"
122,南京全市开展核酸检测,31,383141,"2021-7-22 10:21"
123,新冠病毒溯源情况发布会,32,408754,"2021-7-22 10:47"
124,浙江新增1例台湾输入无症状感染者,34,479091,"2021-7-22 10:52"
125,新冠病毒或2019年10月即在欧洲传播,291,4896890,"2021-7-22 12:04"
126,江苏新增11例本土确诊,331,1241419,"2021-7-22 14:17"
127,南京疫情防控新闻发布会,37,289676,"2021-7-22 14:53"
128,山东发现首例输入性德尔塔毒株感染者,304,1919860,"2021-7-22 16:57"
129,南京已诊断出13例确诊,213,2029792,"2021-7-22 18:10"
13,台湾地区新冠致死率远超全球平均水平,121,591776,"2021-6-23 19:11"
130,这是南京医护人员忙碌后的睡姿,49,347372,"2021-7-22 18:10"
131,应把冷链作为新冠病毒溯源的重要线索,31,338115,"2021-7-22 18:41"
132,广州疫情,45,1892223,"2021-7-22 20:25"
133,沈阳疫情,65,2927244,"2021-7-22 23:59"
134,辽宁新增1例本土无症状,74,1271985,"2021-7-22 23:59"
135,广东中山发现1例无症状感染者,123,255097,"2021-7-23 02:02"
136,江苏医务人员连夜集结支援南京,114,763206,"2021-7-23 10:07"
137,云南7月22日新增境外输入确诊病例13例,35,309857,"2021-7-23 10:16"
138,泗阳核酸检测,100,306586,"2021-7-23 11:42"
139,安徽新增无症状1例,194,674751,"2021-7-23 12:04"
14,感染德尔塔变异毒株症状更像重感冒,32,246090,"2021-6-23 19:26"
140,江苏新增12例本土确诊,186,1323060,"2021-7-23 12:35"
141,南京确诊病例中绝大部分打过疫苗,135,3258154,"2021-7-23 12:53"
142,累计106名东京奥运相关人员感染新冠,32,512715,"2021-7-23 13:09"
143,106名东京奥运相关人员感染新冠,32,506714,"2021-7-23 13:18"
144,南京95后医生的手,242,1064632,"2021-7-23 13:52"
145,以色列称辉瑞疫苗预防有效率降至39%,102,863887,"2021-7-23 13:57"
146,南京全员核酸检测十二时辰,32,467415,"2021-7-23 14:33"
147,北京研发全球首个14价HPV疫苗,173,1469209,"2021-7-23 14:39"
148,小朋友从家里搬电扇给检测医护吹风,47,479947,"2021-7-23 14:41"
149,南京确诊患者没有重症病例出现,138,1348885,"2021-7-23 14:53"
15,新冠疫情在以色列重新暴发,114,311698,"2021-6-23 20:03"
150,南京集体核酸筛查暂不出具检测报告,31,411955,"2021-7-23 14:59"
151,吉林省新增二例境外输入无症状感染者,31,321703,"2021-7-23 18:20"
152,南京核酸检测人员一天喝7瓶水未上厕所,222,1274825,"2021-7-23 18:22"
153,我国新冠疫苗接种剂次超15亿,244,1121739,"2021-7-23 19:09"
154,江苏疫情这些谣言别信,32,371152,"2021-7-23 19:18"
155,沈阳1例无症状感染者系南京企业员工,48,375086,"2021-7-23 19:20"
156,南京本轮疫情已有确诊23例无症状14例,150,1297802,"2021-7-23 23:59"
157,18岁的夏天他们都是核酸检测志愿者,32,487832,"2021-7-24 01:16"
158,江苏新增12例本土病例,33,494833,"2021-7-24 10:05"
159,绵阳通报确诊病例详情,32,406659,"2021-7-24 10:29"
16,广州多地降为低风险地区,215,751522,"2021-6-23 23:50"
160,四川疫情,123,1329203,"2021-7-24 11:44"
161,南京黄码,116,707898,"2021-7-24 11:47"
162,123名奥运相关人员新冠检测呈阳性,32,548003,"2021-7-24 12:19"
163,南京现有1个高风险20个中风险地区,159,550360,"2021-7-24 12:53"
164,四川新增1例本土确诊,266,1998406,"2021-7-24 13:59"
165,南京35例本土病例生命体征平稳,139,1841690,"2021-7-24 15:35"
166,南京共有本土确诊病例35例,76,1321042,"2021-7-24 16:43"
167,东京奥运会首次出现完赛选手确诊新冠,40,737351,"2021-7-24 17:31"
168,南京新冠肺炎感染者增至53例,91,804291,"2021-7-24 17:41"
169,南京三次核酸呈阴性可恢复绿码,70,1334533,"2021-7-24 17:51"
17,广州高风险区居民揭秘隔离生活,33,488163,"2021-6-23 23:59"
170,南医大300名学生投身核酸检测一线,35,604672,"2021-7-24 18:38"
171,沈阳新增1例本土确诊,73,796307,"2021-7-24 22:51"
172,医生手绘漫画宣传抗疫知识,31,834340,"2021-7-24 23:17"
173,护士结束14小时核酸检测后跳起了舞,31,755918,"2021-7-24 23:53"
174,云南新增境外输入确诊病例6例,31,381289,"2021-7-25 10:03"
175,31省区市新增32例确诊,31,396543,"2021-7-25 10:07"
176,广东新增1例本土确诊,154,848516,"2021-7-25 10:13"
177,绵阳疫情,143,424077,"2021-7-25 12:26"
178,南京核酸检测人员累倒在椅子上入眠,32,336350,"2021-7-25 12:50"
179,芜湖疫情,206,716944,"2021-7-25 13:23"
18,印度很可能遭遇第三波疫情,207,2011230,"2021-6-24 13:21"
180,奥运相关人员新增新冠确诊病例10例,31,495527,"2021-7-25 13:25"
181,江苏新增本土确诊2例,84,507595,"2021-7-25 13:50"
182,南京首轮全员检测发现57例阳性,179,1167769,"2021-7-25 14:58"
183,四川泸州新增1例无症状感染者,36,748978,"2021-7-25 18:31"
184,南京26日起坐公交需验看健康码,35,698844,"2021-7-25 20:43"
185,珠海新增1例无症状,63,377427,"2021-7-26 08:52"
186,珠海全市全员核酸检测,108,1199120,"2021-7-26 09:20"
187,31省区市新增76例确诊,32,456596,"2021-7-26 09:33"
188,宿迁新增1例本土确诊,106,448889,"2021-7-26 11:13"
189,珠海疫情,205,1894251,"2021-7-26 11:17"
19,广州出现最短14秒传播病例,325,2068945,"2021-6-24 16:06"
190,东京奥运获奖者可不戴口罩30秒拍照,158,955399,"2021-7-26 12:01"
191,南京禄口街道全面启动第三轮核酸检测,32,699642,"2021-7-26 12:19"
192,南京新增38例本土确诊,220,2384236,"2021-7-26 12:44"
193,南京举行新冠肺炎疫情防控新闻发布会,49,638195,"2021-7-26 12:50"
194,南京2例确诊病例轻型转重型,223,3353460,"2021-7-26 15:00"
195,珠海无症状感染者活动轨迹公布,31,415630,"2021-7-26 15:03"
196,南京所有景区户外活动全部临时关停,31,648735,"2021-7-26 17:43"
197,南京一确诊病例曾到山东日照旅游,35,849886,"2021-7-26 18:01"
198,无锡300名医护人员连夜集结支援南京,28,588001,"2021-7-26 18:28"
199,东京奥运会现首例赛后新冠阳性,107,1018920,"2021-7-26 18:44"
2,深圳疫情,295,126882,"2021-6-22 07:36"
20,广州荔湾白鹤洞街调整为中风险地区,122,391324,"2021-6-24 16:15"
200,南京核酸采样点风雨中坚守,32,659020,"2021-7-26 18:52"
201,扬州两地小区实行封闭式管理,31,666361,"2021-7-26 18:54"
202,出租车不得离开南京,31,691760,"2021-7-26 18:56"
203,北京普惠健康保来了,30,645318,"2021-7-26 19:02"
204,南京三名确诊病例从事高校宿管工作,214,1429744,"2021-7-26 21:02"
205,泸州无症状感染者溯源结果出炉,31,498734,"2021-7-26 21:37"
206,南京加强交通运输疫情管控,32,491040,"2021-7-26 22:48"
207,大连疫情,144,1587365,"2021-7-26 23:39"
208,南京疫情传播链再延长,131,1406153,"2021-7-26 23:48"
209,大连新增3例本土无症状,21,580479,"2021-7-26 23:59"
21,四川健康码上新6款旅行熊猫,654,1463107,"2021-6-24 18:24"
210,南京发文强化小区自然村疫情防控,26,579810,"2021-7-26 23:59"
211,南京疫情已关联5省9市,473,901890,"2021-7-27 07:53"
212,南京江北新区公共文旅体场所暂停营业,54,259040,"2021-7-27 08:07"
213,辽宁沈阳发现11份环境样本核酸为阳性,539,967561,"2021-7-27 08:59"
214,31省区市新增71例确诊,32,368532,"2021-7-27 09:54"
215,南京疫情可能叠加汛情,211,1927813,"2021-7-27 10:57"
216,南京疫情传播链条仍未完全查清阻断,56,432088,"2021-7-27 11:24"
217,南京新增本土确诊31例,196,1290683,"2021-7-27 12:26"
218,接种第三剂疫苗后中和抗体显著提高,105,1643548,"2021-7-27 13:12"
219,南京本土确诊病例达106例,32,847654,"2021-7-27 13:44"
22,广州地铁什么时候恢复正常,198,449367,"2021-6-24 19:18"
220,南京市部分区域疫情风险等级调整,32,829829,"2021-7-27 13:46"
221,南京1例无症状感染者曾在重庆停留5天,107,1138401,"2021-7-27 14:36"
222,南京疫情毒株为德尔塔毒株,216,3038467,"2021-7-27 14:42"
223,南京新增31例集中在重点管控区,32,643658,"2021-7-27 15:08"
224,南京1例确诊是出租车司机,127,1985143,"2021-7-27 15:21"
225,南京112例感染者分布在全市八个区,210,1725795,"2021-7-27 17:32"
226,南京急寻23日至26日去过该诊所人员,188,2384767,"2021-7-27 22:50"
227,辽宁疫情,41,576577,"2021-7-27 23:05"
228,沈阳大连各增1例本土确诊,73,790432,"2021-7-27 23:10"
229,沈阳新增本土确诊行程轨迹,32,739798,"2021-7-27 23:27"
23,兰州新增1例新冠肺炎确诊病例,258,876410,"2021-6-24 20:44"
230,苏州昆山通报1例确诊病例密接者,92,1489885,"2021-7-27 23:59"
231,南京禄口机场疫情传播链增至125人,64,1423569,"2021-7-27 23:59"
232,德尔塔病毒载量为去年流行病株1260倍,83,1137391,"2021-7-28 08:44"
233,扬州疫情,41,1376480,"2021-7-28 08:56"
234,云南新增境外输入确诊16例,32,484903,"2021-7-28 09:18"
235,全国有5个高风险41个中风险,32,456940,"2021-7-28 10:02"
236,南京中高风险地区为隔离民众调配生活物资,96,529358,"2021-7-28 10:06"
237,四川发布疫情防控紧急通知,165,1604496,"2021-7-28 10:37"
238,31省区市新增本土病例55例,32,544022,"2021-7-28 10:47"
239,南京辟谣公交查出红码乘客,33,788326,"2021-7-28 11:00"
24,广东人对绿码的信仰,364,739098,"2021-6-24 21:04"
240,成都新增3例新冠本土病例,44,1039193,"2021-7-28 11:04"
241,南京介绍疫情防控情况,32,507536,"2021-7-28 11:15"
242,南京新增47例本土确诊,36,672181,"2021-7-28 11:16"
243,江苏新增本土病例48例,76,1567572,"2021-7-28 11:30"
244,浙江健康码上新,38,578985,"2021-7-28 11:50"
245,杭州健康码显示疫苗接种信息,89,1183630,"2021-7-28 12:02"
246,南京累计报告155例感染者,32,493322,"2021-7-28 12:06"
247,成都3例本土病例活动轨迹,33,788882,"2021-7-28 12:29"
248,南京7天内确诊超百例,176,2890846,"2021-7-28 13:24"
249,南京江宁回应封闭区域发菜不发外地人,39,971312,"2021-7-28 14:52"
25,上海打疫苗有多内卷,45,542138,"2021-6-24 23:59"
250,成都一家三口确诊新冠肺炎,113,1634299,"2021-7-28 15:22"
251,南京疫情已有4例重症,215,1929181,"2021-7-28 17:16"
252,4例感染者曾同看一场魅力湘西,252,4868619,"2021-7-28 17:36"
253,重庆疫情,39,956568,"2021-7-28 18:30"
254,淮安与南京确诊病例密接者核酸均阴性,38,795162,"2021-7-28 18:33"
255,南京疫情德尔塔病毒传播能力有多强,36,764152,"2021-7-28 19:28"
256,打疫苗后再用吸入疫苗可加强免疫,130,2416076,"2021-7-28 21:42"
257,东京日增新冠病例首次超3000例,199,1346300,"2021-7-28 21:49"
258,成都召开疫情防控工作发布会,33,665335,"2021-7-28 22:17"
259,成都疫情,329,4512419,"2021-7-28 22:42"
26,广州解封市民形容心情就像马狂奔,25,272711,"2021-6-24 23:59"
260,成都新增5例本土确诊详情,53,713905,"2021-7-28 23:07"
261,成都新增5例本土确诊病例,162,1743848,"2021-7-28 23:59"
262,张家界疫情,78,1634853,"2021-7-28 23:59"
263,陈薇团队吸入用新冠疫苗获权威认可,167,1370277,"2021-7-28 23:59"
264,南京1657名机场关联人员14天居家监测,19,915463,"2021-7-28 23:59"
